ES-005 - LOS CARBONALES
Sistematización de Hatos
Software GANADERO SG - Reportes Personalizados
Número = Número del Animal              Nombre = Nombre              E.Mes = Edad en meses              E. Años = Edad en años              Edad Año - Mes = Edad Año - Mes - día
EA = Estado actual              DPar = Días Parida              #C = Total Crías              #P = Total Partos              # Abortos = Total Abortos
D.Ab = Días abiertos              F. P. P = Fecha próximo parto              UIEP = Último intervalo entre partos              DEL = Días lactando
Actualizado a: 05/01/26 Impresión: 03/02/26 10:24:31 AM
No.;Número;Nombre;E.Mes;E. Años;Edad Año - Mes;EA;DPar;#C;#P;# Abortos;F.Últ.Par;Gest.;F. Preñ;Estado reprod.;TPreñez;D.Ab;F. P. P;UIEP
1;003390613;00339061;111;9.3;09a 03m 12d;VP;29;6;6;0;2026-01-05;0;;Vacía;;29;;440
2;003390625;00339062;111;9.3;09a 03m 12d;VP;209;5;5;0;2025-07-09;0;;Vacía;;209;;552
3;003390647;00339064;111;9.3;09a 03m 03d;VP;162;4;4;0;2025-08-25;0;;Vacía;;162;;553
4;003888755;00388875;107;8.9;08a 11m 01d;VP;67;5;5;0;2025-11-28;0;;Vacía;;67;;403
5;003888855;00388885;109;9.1;09a 01m 02d;VP;412;4;4;0;2024-12-18;0;2025-09-30;Preñada;IATF;412;2026-06-30;443
6;003888862;00388886;104;8.7;08a 08m 25d;VP;57;5;5;0;2025-12-08;0;;Vacía;;57;;427
7;003889346;00388934;98.9;8.2;08a 02m 23d;VP;227;3;3;0;2025-06-21;0;2025-09-30;Preñada;MN;227;2026-06-30;569
8;003889391;00061955;96.5;8;08a 00m 12d;VP;157;3;3;0;2025-08-30;0;;Vacía;;157;;528
9;003889400;00194459;95.8;8;07a 11m 19d;VP;593;3;3;0;2024-06-20;241;2025-06-07;Preñada;MN;352;2026-03-22;454
10;003889411;00148398;94.9;7.9;07a 10m 24d;VP;270;2;2;1;2025-05-09;0;2025-11-25;Preñada;MN;270;2026-07-30;122
11;003906181;00388936;98.1;8.2;08a 02m 00d;VS;0;5;5;0;2024-06-21;349;2025-02-19;Preñada;MN;243;2025-12-04;339
12;003906316;00390631;107;9;08a 11m 09d;VP;458;5;5;0;2024-11-02;241;2025-06-07;Preñada;MN;217;2026-03-22;410
13;003907344;7-10-005;99.8;8.3;08a 03m 21d;VP;605;3;3;0;2024-06-08;275;2025-05-04;Preñada;MN;330;2026-02-16;643
14;003907353;7-12-030;97.9;8.2;08a 01m 25d;VP;196;5;5;0;2025-07-22;0;;Vacía;;196;;399
15;004301913;00194452;94.6;7.9;07a 10m 15d;VP;441;3;3;0;2024-11-19;0;;Vacía;;441;;599
16;004301954;00031977;92.9;7.7;07a 08m 24d;VP;413;3;3;0;2024-12-17;241;2025-06-07;Preñada;MN;172;2026-03-22;565
17;004301958;00053888;92.8;7.7;07a 08m 22d;VP;431;3;3;0;2024-11-29;0;2025-06-30;Preñada;MN;431;2026-03-30;509
18;004302000;00388930;92.1;7.7;07a 07m 28d;VP;151;3;3;0;2025-09-05;0;;Vacía;;151;;309
19;004302010;00053898;91.9;7.7;07a 07m 22d;VP;65;4;4;0;2025-11-30;0;;Vacía;;65;;517
20;004302021;00194452;91.2;7.6;07a 07m 02d;VP;169;3;3;0;2025-08-18;0;;Vacía;;169;;521
21;004302022;00148391;91.2;7.6;07a 07m 02d;VP;48;4;4;0;2025-12-17;0;;Vacía;;48;;384
22;004302024;00069580;91.1;7.6;07a 06m 29d;VP;157;3;3;0;2025-08-30;0;;Vacía;;157;;524
23;004302031;00194452;90.9;7.6;07a 06m 25d;VP;159;3;3;0;2025-08-28;0;;Vacía;;159;;586
24;004302058;00173828;90;7.5;07a 05m 28d;VP;47;4;4;0;2025-12-18;0;;Vacía;;47;;414
25;004302085;00390633;89.2;7.4;07a 05m 04d;VS;0;2;2;1;2024-06-21;0;;Vacía;;592;;686
26;004302090;00069451;89.1;7.4;07a 05m 01d;VP;39;3;3;0;2025-12-26;0;;Vacía;;39;;502
27;004302113;00061948;88.9;7.4;07a 04m 23d;VP;199;3;3;0;2025-07-19;0;2025-10-30;Preñada;MN;199;2026-07-30;558
28;004302116;00031973;88.9;7.4;07a 04m 24d;VP;166;3;3;0;2025-08-21;0;;Vacía;;166;;508
29;004302154;00148206;88.5;7.4;07a 04m 12d;VP;214;3;3;0;2025-07-04;0;2025-10-30;Preñada;MN;214;2026-08-02;535
30;004302170;00173887;88.1;7.3;07a 03m 30d;VP;54;3;3;0;2025-12-11;0;;Vacía;;54;;535
31;004302187;00173876;87.5;7.3;07a 03m 13d;VP;18;3;3;0;2026-01-16;0;;Vacía;;18;;558
32;004302232;00390634;84.5;7;07a 00m 12d;VP;236;3;3;0;2025-06-12;0;;Vacía;;236;;495
33;004425588;8-06-025;98.5;8.2;08a 02m 13d;VP;89;4;4;1;2025-11-06;0;;Vacía;;89;;602
34;004425594;7-11-043;98.4;8.2;08a 02m 09d;VP;660;2;2;2;2024-04-14;0;2025-09-30;Preñada;MN;660;2026-06-30;105
35;004425613;7-12-003;98.1;8.2;08a 02m 01d;VP;169;6;6;0;2025-08-18;0;2025-09-30;Preñada;MN;169;2026-07-28;379
36;004425617;7-12-007;98.1;8.2;08a 02m 01d;VP;474;4;4;0;2024-10-17;241;2025-06-07;Preñada;MN;233;2026-03-22;383
37;004425636;7-12-026;97.9;8.2;08a 01m 25d;VP;287;4;4;0;2025-04-22;0;2025-06-30;Preñada;MN;287;2026-03-29;391
38;004425715;7-12-105;97.2;8.1;08a 01m 03d;VP;314;5;5;0;2025-03-26;0;2025-11-15;Preñada;MN;314;2026-08-15;410
39;004425717;7-12-107;97.2;8.1;08a 01m 03d;VP;148;5;5;0;2025-09-08;0;2025-10-30;Preñada;MN;148;2026-08-30;426
40;004426092;8-04-015;86.8;7.2;07a 02m 21d;VP;193;2;2;0;2025-07-25;0;2025-11-15;Preñada;MN;193;2026-07-30;582
41;004426108;8-04-049;86.8;7.2;07a 02m 21d;VP;92;3;3;0;2025-11-03;0;;Vacía;;92;;511
42;004426609;8-06-006;82.9;6.9;06a 10m 23d;VP;353;3;3;0;2025-02-15;0;2025-08-30;Preñada;MN;353;2026-06-28;415
43;004426683;8-07-045;82.9;6.9;06a 10m 23d;VP;201;3;3;0;2025-07-17;0;;Vacía;;201;;557
44;004429547;00173876;78.7;6.6;06a 06m 19d;VP;50;3;3;0;2025-12-15;0;;Vacía;;50;;523
45;004429553;00338817;80.4;6.7;06a 08m 10d;VP;167;3;3;0;2025-08-20;0;2025-11-15;Preñada;MN;167;2026-08-20;538
46;004429563;00194452;78.8;6.6;06a 06m 22d;VP;218;3;3;0;2025-06-30;0;;Vacía;;218;;498
47;004429569;00339064;78;6.5;06a 05m 26d;VP;214;3;3;0;2025-07-04;0;2025-11-15;Preñada;MN;214;2026-08-20;506
48;006421535;00069579;77.6;6.5;06a 05m 14d;VP;169;3;3;0;2025-08-18;0;2025-10-25;Preñada;MN;169;2026-06-30;562
49;006820029;00208968;76.2;6.4;06a 04m 04d;VP;412;2;2;0;2024-12-18;0;2025-08-26;Preñada;IATF;412;2026-05-30;561
