"PLASENCIA TORRES   S,A   "" PLATOR S,A""";;;;;;;;;;;;;;
INFORME  DE  MORTALIDAD  DEL  MES  FEBRERO 2026;;;;;;;;;;;;;;
;M  U  E  R  T  E  S  -   A  Ñ  O   -  2  0  2  5;;;;;;;M  U  E  R  T  E  S  -   A  Ñ  O   -  2  0  2  6;;;;;;
F  I  N  C  A;Masa;C  R  I  A   S;;GANADO;TOTAL;PORCENT.;;Masa;C  R  I  A   S;;GANADO;TOTAL;PORCENT.;VARIACION
;Ganadera;Machos;Hembras;ADULTOS;Muertes;%;;Ganadera;Machos;Hembras;ADULTOS;Muertes;%;2025-2026
El Castillo;184;0;0;0;0;0;;9;0;0;0;0;0;0
;;;;;;;;;;;;;;
Las Cuchillas;129;0;0;2;2;0.015503875968992248;;226;0;0;0;0;0;-2
;;;;;;;;;;;;;;
Las Guayabas;180;0;0;0;0;0;;4;0;0;0;0;0;0
;;;;;;;;;;;;;;
Los Carbonales;325;0;1;0;1;0.003076923076923077;;537;0;0;1;1;0.00186219739292365;0
;;;;;;;;;;;;;;
Los Chaguites;135;0;0;1;1;0.007407407407407408;;46;0;0;0;0;0;-1
;;;;;;;;;;;;;;
Monte Fresco;337;1;0;0;1;0.002967359050445104;;425;0;0;1;1;0.002352941176470588;0
;;;;;;;;;;;;;;
SUB - TOTAL;1290;1;1;3;5;0.003875968992248062;;1247;0;0;2;2;0.0016038492381716118;-3
;;;;;;;;;;;;;;
PRIMERO MAYO;1276;3;2;2;7;0.0054858934169279;;1239;1;0;1;2;0.0016142050040355124;-5
;;;;;;;;;;;;;;
SUB - TOTAL;1276;3;2;2;7;0.0054858934169279;;1239;1;0;1;2;0.0016142050040355124;-5
;;;;;;;;;;;;;;
TOTAL GENERAL;2566;4;3;2;12;0.004676539360872954;;2486;1;0;3;4;0.0016090104585679806;-8
